"wavelength","k"
584.65,11499.3086438208
585.1,11630.9652827086
585.55,11797.862401435
586,12045.7789902463
586.45,12207.7805598117
586.9,12403.7893792743
587.35,12636.9819499981
587.8,12821.5927351545
588.25,13039.5380993311
588.71,13248.0287006241
589.16,13445.3454912366
589.61,13701.0351657386
590.06,13907.8814604432
590.51,14056.5043536754
590.96,14409.6939347509
591.41,14643.2602115176
591.86,14792.966852274
592.31,15058.8960723495
592.76,15278.1120370716
593.21,15613.5879517172
593.66,15757.0537015584
594.11,15977.3534138047
594.56,16289.0989947307
595.01,16525.3185844015
595.46,16905.2655181434
595.91,17094.8839642737
596.36,17254.4564445607
596.81,17579.3938487985
597.26,17796.5170596809
597.71,18055.6074591726
598.16,18363.429126649
598.61,18706.8649800067
599.06,18927.4636570873
599.51,19103.2923502373
599.96,19416.981202586
600.41,19663.8887850817
600.86,20023.9171867409
601.31,20211.1439141971
601.76,20557.4199334803
602.21,20789.0429388243
602.65,21022.7586980081
603.1,21289.7716656078
603.55,21451.6611233604
604,21885.1975036436
604.45,22168.7282783363
604.9,22431.1820322135
605.35,22599.6113457155
605.8,22895.5491610299
606.25,23108.2252700026
606.7,23279.0463021787
607.15,23671.1386823125
607.6,23891.2141709331
608.05,23922.6802197391
608.5,24143.6899734669
608.95,24370.3800590455
609.39,24912.0295975186
609.84,24788.1460443215
610.29,25018.6105609328
610.74,25342.8752942935
611.19,25578.7211779214
611.64,25684.3305056243
612.09,25824.0218244329
612.54,26011.3606637019
612.99,25982.6600396128
613.44,26239.5829440562
613.88,26308.0458911021
614.33,26494.8989125154
614.78,26630.8531708958
615.23,26858.2906685601
615.68,26795.6949063866
616.13,27042.8267125079
616.58,27096.378788445
617.03,27144.1757913226
617.47,27387.234201577
617.92,27134.4594342091
618.37,27462.7601928323
618.82,27314.6604880601
619.27,27343.9216712134
619.72,27595.7621734743
620.17,27599.9850517583
620.61,27634.1044134684
621.06,27743.7123958294
621.51,27669.2701520984
621.96,27929.8927463657
622.41,27841.8476026757
622.86,27805.1122986659
623.3,27991.2552785979
623.75,28068.3882058373
624.2,28200.0074741208
624.65,28066.3328226017
625.1,28471.6170260473
625.54,28390.2612205239
625.99,28588.6991292649
626.44,28548.3762472439
626.89,28751.7844463545
627.34,28829.7395268881
627.78,28891.3636533503
628.23,28930.5280466385
628.68,29016.256212863
629.13,29276.2435068575
629.58,29534.1754176165
630.02,29675.0999663664
630.47,29706.640756381
630.92,29843.865615307
631.37,30126.8358309354
631.81,30217.6463993423
632.26,30428.1550132666
632.71,30624.5749093763
633.16,30830.8606450166
633.61,30792.2568107926
634.05,31025.3746403079
634.5,31463.4702343137
634.95,31686.4980006727
635.4,31766.3589820247
635.84,32213.9840801226
636.29,32521.3946709518
636.74,32646.1003774431
637.18,33148.6602638365
637.63,33432.9384506148
638.08,33773.4220262342
638.53,33961.919354236
638.97,34228.1475391457
639.42,34252.7373967637
639.87,34651.5938562727
640.32,35611.4204566688
640.76,35621.5852610337
641.21,36474.2329683471
641.66,36431.7052206734
642.1,36938.525355955
642.55,37402.0703314773
643,37468.5152658918
643.44,37896.8571321798
643.89,38629.0220112859
644.34,39363.7654620875
644.79,39252.5505437423
645.23,39351.0220860271
645.68,39875.9295937815
646.13,40290.6685601106
646.57,40775.9258567211
647.02,40949.4002018013
647.47,42338.1665981539
647.91,42404.7610149856
648.36,42332.1125602601
648.81,43013.4160469375
649.25,43735.6777159087
649.7,43522.478418476
650.15,44264.3970252999
650.59,44902.7243170522
651.04,45101.3864494189
651.48,45500.8782092006
651.93,44588.5870174521
652.38,45391.718674091
652.82,46205.575694159
653.27,46356.8519002952
653.72,46272.5811876378
654.16,47661.2354721776
654.61,47820.1352815875
655.06,49102.5449381517
655.5,48503.5315221047
655.95,48160.4693747898
656.39,49409.5818229381
656.84,49066.893381666
657.29,48525.0196195672
657.73,48006.2782615195
658.18,49932.3592062484
658.62,50810.5310362868
659.07,50192.49598266
659.52,51099.816884039
659.96,50596.1358795172
660.41,49242.9462984417
660.85,50700.4746066744
661.3,49122.5382114429
661.74,50478.1568817968
662.19,49474.8308980156
662.64,53406.3679509698
663.08,50095.2202997123
